국가명,국가등급,등급평가일자
지부티,7,2019-07-04
짐바브웨,7,2019-07-04
캄보디아,6,2019-07-04
케냐,6,2019-07-04
탄자니아,6,2019-07-04
태국,3,2019-07-04
파키스탄,7,2019-07-04
파푸아뉴기니,6,2019-07-04
피지,5,2019-07-04
필리핀,3,2019-07-04
홍콩,2,2019-07-04
그리스,5,2019-02-26
사모아,6,2019-02-26
사이프러스,4,2019-02-26
칠레,2,2019-02-26
헝가리,3,2019-02-26
러시아,4,2019-02-11
레바논,7,2019-02-11
루마니아,3,2019-02-11
리비아,7,2019-02-11
마케도니아,5,2019-02-11
모로코,3,2019-02-11
몬테네그로,7,2019-02-11
몰도바,7,2019-02-11
바레인,5,2019-02-11
벨라루스,6,2019-02-11
보스니아-헤르체코비나,7,2019-02-11
불가리아,3,2019-02-11
사우디아라비아,2,2019-02-11
세르비아,5,2019-02-11
시리아,7,2019-02-11
아랍에미리트 연합,2,2019-02-11
아르메니아,6,2019-02-11
아제르바이잔,5,2019-02-11
알바니아,5,2019-02-11
알제리,4,2019-02-11
예멘,7,2019-02-11
오만,4,2019-02-11
요르단,5,2019-02-11
우즈베키스탄,5,2019-02-11
우크라이나,7,2019-02-11
이라크,7,2019-02-11
이란,6,2019-02-11
이집트,5,2019-02-11
조지아,6,2019-02-11
카자흐스탄,5,2019-02-11
카타르,3,2019-02-11
코소보,7,2019-02-11
쿠웨이트,2,2019-02-11
크로아티아,4,2019-02-11
키르기즈공화국,7,2019-02-11
타지키스탄,7,2019-02-11
터키,5,2019-02-11
투르크메니스탄,6,2019-02-11
튀니지,5,2019-02-11
팔레스타인,7,2019-02-11
그레나다,5,2018-12-03
나우루,4,2018-12-03
도미니카 연방,5,2018-12-03
라트비아,3,2018-12-03
리투아니아,2,2018-12-03
리히텐슈타인,1,2018-12-03
마샬군도,5,2018-12-03
모나코,2,2018-12-03
미국령 사모아,5,2018-12-03
미크로네시아,6,2018-12-03
바누아투,5,2018-12-03
바베이도스,4,2018-12-03
바티칸,2,2018-12-03
브루나이,3,2018-12-03
산 마리노,2,2018-12-03
상투메프린시페,7,2018-12-03
세인트 루시아,6,2018-12-03
세인트 빈센트 그레나딘,5,2018-12-03
세인트 키츠 네비스,5,2018-12-03
솔로몬제도,6,2018-12-03
안도라,2,2018-12-03
코모로,7,2018-12-03
키리바시,7,2018-12-03
통가,6,2018-12-03
투발루,7,2018-12-03
팔라우,3,2018-12-03
허드섬,7,2018-12-03
가나,6,2018-11-02
가봉,6,2018-11-02
가이아나,6,2018-11-02
감비아,7,2018-11-02
과테말라,4,2018-11-02
기니,7,2018-11-02
기니비사우,7,2018-11-02
나이지리아,6,2018-11-02
니제르,7,2018-11-02
니카라과,7,2018-11-02
도미니카공화국,4,2018-11-02
라이베리아,7,2018-11-02
말리,7,2018-11-02
멕시코,3,2018-11-02
모리타니아,7,2018-11-02
바하마,3,2018-11-02
베네수엘라,7,2018-11-02
베넹,6,2018-11-02
볼리비아,5,2018-11-02
부르키나파소,7,2018-11-02
브라질,5,2018-11-02
세네갈,5,2018-11-02
수리남,6,2018-11-02
시에라리온,7,2018-11-02
아루바,4,2018-11-02
아르헨티나,6,2018-11-02
아이티,7,2018-11-02
앤티가 바부다,7,2018-11-02
에콰도르,6,2018-11-02
엘살바도르,5,2018-11-02
온두라스,5,2018-11-02
우루과이,3,2018-11-02
자메이카,6,2018-11-02
적도기니,7,2018-11-02
중앙아프리카공화국,7,2018-11-02
차드,7,2018-11-02
카메룬,6,2018-11-02
카보베르데,6,2018-11-02
코스타리카,3,2018-11-02
코트디부아르,6,2018-11-02
콜롬비아,4,2018-11-02
콩고,7,2018-11-02
콩고민주공화국,7,2018-11-02
쿠바,7,2018-11-02
퀴라소,5,2018-11-02
토고,6,2018-11-02
트리니다드토바고,3,2018-11-02
파나마,3,2018-11-02
파라과이,5,2018-11-02
페루,3,2018-11-02
나미비아,4,2018-06-29
남수단,7,2018-06-29
남아프리카공화국,4,2018-06-29
네팔,6,2018-06-29
대만,1,2018-06-29
동티모르,6,2018-06-29
라오스,7,2018-06-29
레소토,6,2018-06-29
르완다,6,2018-06-29
마다가스카르,7,2018-06-29
마카오,2,2018-06-29
말라위,7,2018-06-29
말레이시아,2,2018-06-29
모리셔스,3,2018-06-29
모잠비크,7,2018-06-29
몰디브,6,2018-06-29
몽골,6,2018-06-29
미얀마,6,2018-06-29
방글라데시,5,2018-06-29
베트남,5,2018-06-29
보츠와나,2,2018-06-29
부룬디,7,2018-06-29
부탄,6,2018-06-29
북한,7,2018-06-29
소말리아,7,2018-06-29
수단,7,2018-06-29
스리랑카,6,2018-06-29
스와질란드,6,2018-06-29
싱가포르,1,2018-06-29
아프가니스탄,7,2018-06-29
앙골라,6,2018-06-29
에리트리아,7,2018-06-29
에티오피아,7,2018-06-29
우간다,6,2018-06-29
이란,6,2018-06-29
인도,3,2018-06-29
인도네시아,3,2018-06-29
잠비아,6,2018-06-29
중국,2,2018-06-29
지부티,7,2018-06-29
짐바브웨,7,2018-06-29
캄보디아,6,2018-06-29
케냐,6,2018-06-29
탄자니아,6,2018-06-29
태국,3,2018-06-29
터키,5,2018-06-29
파키스탄,7,2018-06-29
파푸아뉴기니,6,2018-06-29
피지,5,2018-06-29
필리핀,3,2018-06-29
홍콩,2,2018-06-29
러시아,4,2018-02-02
레바논,7,2018-02-02
루마니아,3,2018-02-02
리비아,7,2018-02-02
마케도니아,5,2018-02-02
모로코,3,2018-02-02
몬테네그로,7,2018-02-02
몰도바,7,2018-02-02
바레인,4,2018-02-02
벨라루스,6,2018-02-02
보스니아-헤르체코비나,7,2018-02-02
불가리아,3,2018-02-02
사우디아라비아,2,2018-02-02
세르비아,5,2018-02-02
시리아,7,2018-02-02
아랍에미리트 연합,2,2018-02-02
아르메니아,6,2018-02-02
아제르바이잔,5,2018-02-02
알바니아,6,2018-02-02
알제리,4,2018-02-02
예멘,7,2018-02-02
오만,4,2018-02-02
요르단,5,2018-02-02
우즈베키스탄,6,2018-02-02
우크라이나,7,2018-02-02
이라크,7,2018-02-02
이집트,6,2018-02-02
조지아,6,2018-02-02
카자흐스탄,6,2018-02-02
카타르,3,2018-02-02
코소보,7,2018-02-02
쿠웨이트,2,2018-02-02
크로아티아,4,2018-02-02
키르기즈공화국,7,2018-02-02
타지키스탄,7,2018-02-02
투르크메니스탄,6,2018-02-02
튀니지,5,2018-02-02
팔레스타인,7,2018-02-02
가나,6,2017-11-03
가봉,6,2017-11-03
가이아나,6,2017-11-03
감비아,7,2017-11-03
과테말라,4,2017-11-03
기니,7,2017-11-03
기니비사우,7,2017-11-03
나이지리아,6,2017-11-03
니제르,7,2017-11-03
니카라과,6,2017-11-03
도미니카공화국,4,2017-11-03
라이베리아,7,2017-11-03
말리,7,2017-11-03
멕시코,3,2017-11-03
모리타니아,7,2017-11-03
바하마,3,2017-11-03
베네수엘라,7,2017-11-03
베넹,6,2017-11-03
벨리즈,7,2017-11-03
볼리비아,5,2017-11-03
부르키나파소,7,2017-11-03
브라질,5,2017-11-03
세네갈,5,2017-11-03
수리남,6,2017-11-03
시에라리온,7,2017-11-03
아루바,4,2017-11-03
아르헨티나,6,2017-11-03
아이티,7,2017-11-03
앤티가 바부다,7,2017-11-03
에콰도르,6,2017-11-03
엘살바도르,5,2017-11-03
온두라스,5,2017-11-03
우루과이,3,2017-11-03
자메이카,6,2017-11-03
적도기니,7,2017-11-03
중앙아프리카공화국,7,2017-11-03
차드,7,2017-11-03
카메룬,6,2017-11-03
카보베르데,6,2017-11-03
코스타리카,3,2017-11-03
코트디부아르,6,2017-11-03
콜롬비아,4,2017-11-03
콩고,7,2017-11-03
콩고민주공화국,7,2017-11-03
쿠바,7,2017-11-03
퀴라소,5,2017-11-03
토고,6,2017-11-03
트리니다드토바고,3,2017-11-03
파나마,3,2017-11-03
파라과이,5,2017-11-03
페루,3,2017-11-03
나미비아,4,2017-06-28
남수단,7,2017-06-28
남아프리카공화국,4,2017-06-28
네팔,6,2017-06-28
대만,1,2017-06-28
동티모르,6,2017-06-28
라오스,7,2017-06-28
레소토,6,2017-06-28
르완다,6,2017-06-28
마다가스카르,7,2017-06-28
마카오,2,2017-06-28
말라위,7,2017-06-28
말레이시아,2,2017-06-28
모리셔스,3,2017-06-28
모잠비크,7,2017-06-28
몰디브,6,2017-06-28
몽골,6,2017-06-28
미얀마,6,2017-06-28
방글라데시,5,2017-06-28
베트남,5,2017-06-28
보츠와나,2,2017-06-28
부룬디,7,2017-06-28
부탄,6,2017-06-28
북한,7,2017-06-28
세이셸,6,2017-06-28
소말리아,7,2017-06-28
수단,7,2017-06-28
스리랑카,6,2017-06-28
스와질란드,6,2017-06-28
싱가포르,1,2017-06-28
아프가니스탄,7,2017-06-28
앙골라,6,2017-06-28
에리트리아,7,2017-06-28
에티오피아,7,2017-06-28
우간다,6,2017-06-28
인도,3,2017-06-28
인도네시아,3,2017-06-28
잠비아,6,2017-06-28
중국,2,2017-06-28
지부티,7,2017-06-28
짐바브웨,7,2017-06-28
캄보디아,6,2017-06-28
케냐,6,2017-06-28
탄자니아,6,2017-06-28
태국,3,2017-06-28
파키스탄,7,2017-06-28
파푸아뉴기니,6,2017-06-28
피지,6,2017-06-28
필리핀,3,2017-06-28
홍콩,2,2017-06-28
몰타,3,2017-06-20
슬로베니아,3,2017-06-20
포르투갈,3,2017-06-20
네덜란드,1,2017-05-09
노르웨이,1,2017-05-09
뉴질랜드,1,2017-05-09
대한민국,1,2017-05-09
덴마크,1,2017-05-09
독일,1,2017-05-09
룩셈부르크,1,2017-05-09
미국,1,2017-05-09
벨기에,1,2017-05-09
스웨덴,1,2017-05-09
스위스,1,2017-05-09
스페인,1,2017-05-09
슬로바키아,1,2017-05-09
아이슬란드,1,2017-05-09
아일랜드,1,2017-05-09
에스토니아,1,2017-05-09
영국,1,2017-05-09
오스트리아,1,2017-05-09
이스라엘,1,2017-05-09
이탈리아,1,2017-05-09
일본,1,2017-05-09
체코,1,2017-05-09
캐나다,1,2017-05-09
폴란드,1,2017-05-09
프랑스,1,2017-05-09
핀란드,1,2017-05-09
호주,1,2017-05-09
러시아,4,2017-02-03
레바논,7,2017-02-03
루마니아,3,2017-02-03
리비아,7,2017-02-03
마케도니아,5,2017-02-03
모로코,3,2017-02-03
몬테네그로,7,2017-02-03
몰도바,7,2017-02-03
바레인,4,2017-02-03
벨라루스,7,2017-02-03
보스니아-헤르체코비나,7,2017-02-03
불가리아,3,2017-02-03
사우디아라비아,2,2017-02-03
세르비아,5,2017-02-03
시리아,7,2017-02-03
아랍에미리트 연합,2,2017-02-03
아르메니아,6,2017-02-03
아제르바이잔,5,2017-02-03
알바니아,6,2017-02-03
알제리,4,2017-02-03
예멘,7,2017-02-03
오만,3,2017-02-03
요르단,5,2017-02-03
우즈베키스탄,6,2017-02-03
우크라이나,7,2017-02-03
이라크,7,2017-02-03
이란,6,2017-02-03
이집트,6,2017-02-03
조지아,6,2017-02-03
카자흐스탄,6,2017-02-03
카타르,3,2017-02-03
코소보,7,2017-02-03
쿠웨이트,2,2017-02-03
크로아티아,5,2017-02-03
키르기즈공화국,7,2017-02-03
타지키스탄,7,2017-02-03
투르크메니스탄,6,2017-02-03
튀니지,5,2017-02-03
팔레스타인,7,2017-02-03
그리스,6,2016-12-30
사이프러스,4,2016-12-30
칠레,2,2016-12-30
그린랜드,3,2016-12-23
나바사섬,7,2016-12-23
남조지아.남샌드위치군도,7,2016-12-23
노르웨이속령,7,2016-12-23
노포크 아일랜드,7,2016-12-23
니우에,5,2016-12-23
로스속령,7,2016-12-23
마요뜨,5,2016-12-23
말티니크,3,2016-12-23
맨섬,3,2016-12-23
멜리야,3,2016-12-23
몬트세라트,7,2016-12-23
미국령 버진군도,3,2016-12-23
미국령 사모아,5,2016-12-23
미드웨이섬,7,2016-12-23
베이커홀랜드섬,7,2016-12-23
북마리아나 군도,3,2016-12-23
세우타,3,2016-12-23
세인트 피에르 미켈론,4,2016-12-23
세인트헬레나,5,2016-12-23
스발바드,7,2016-12-23
아쉬모아 카르티어 아일랜드,7,2016-12-23
알랜드아일랜드,4,2016-12-23
영국남극속령,7,2016-12-23
영국령 인도양지역,7,2016-12-23
월리스푸투나제도,5,2016-12-23
웨이크아일랜드,7,2016-12-23
자비스섬,7,2016-12-23
잔메이엔,7,2016-12-23
존스톤 아일랜드,7,2016-12-23
차넬군도(건지),3,2016-12-23
케이만군도,3,2016-12-23
코랄섬,7,2016-12-23
코코스 군도,7,2016-12-23
쿡제도,4,2016-12-23
크리스마스섬,7,2016-12-23
킹맨리프,7,2016-12-23
터크스 카이코스군도,4,2016-12-23
토켈라우,3,2016-12-23
팔미라,7,2016-12-23
페로군도,4,2016-12-23
포클랜드군도,4,2016-12-23
프랑스령 극남군도,7,2016-12-23
프랑스령 기아나,4,2016-12-23
피트케안군도,7,2016-12-23
호주남극속령,7,2016-12-23
가나,6,2016-11-04
가봉,5,2016-11-04
감비아,7,2016-11-04
과테말라,4,2016-11-04
기니,7,2016-11-04
기니비사우,7,2016-11-04
나이지리아,6,2016-11-04
니제르,7,2016-11-04
니카라과,7,2016-11-04
도미니카공화국,5,2016-11-04
라이베리아,7,2016-11-04
말리,7,2016-11-04
멕시코,3,2016-11-04
모리타니아,7,2016-11-04
바하마,3,2016-11-04
베네수엘라,7,2016-11-04
베넹,6,2016-11-04
벨리즈,7,2016-11-04
볼리비아,5,2016-11-04
부르키나파소,7,2016-11-04
브라질,5,2016-11-04
세네갈,6,2016-11-04
수리남,6,2016-11-04
시에라리온,7,2016-11-04
아루바,4,2016-11-04
아르헨티나,6,2016-11-04
아이티,7,2016-11-04
앤티가 바부다,7,2016-11-04
에콰도르,6,2016-11-04
엘살바도르,5,2016-11-04
온두라스,5,2016-11-04
우루과이,3,2016-11-04
자메이카,7,2016-11-04
적도기니,7,2016-11-04
중앙아프리카공화국,7,2016-11-04
차드,7,2016-11-04
카메룬,6,2016-11-04
카보베르데,6,2016-11-04
코스타리카,3,2016-11-04
코트디부아르,6,2016-11-04
콜롬비아,4,2016-11-04
콩고,6,2016-11-04
콩고민주공화국,7,2016-11-04
쿠바,7,2016-11-04
퀴라소,5,2016-11-04
토고,6,2016-11-04
트리니다드토바고,3,2016-11-04
파나마,3,2016-11-04
파라과이,5,2016-11-04
페루,3,2016-11-04
과달루프,3,2016-10-31
괌,3,2016-10-31
뉴칼레도니아,4,2016-10-31
레위니옹,4,2016-10-31
버뮤다,2,2016-10-31
앵귈라,4,2016-10-31
영국령 버진군도,3,2016-10-31
지브랄타,3,2016-10-31
차넬군도(저지),2,2016-10-31
터키,5,2016-10-31
푸에르토리코,5,2016-10-31
프랑스령 폴리네시아,3,2016-10-31
나미비아,4,2016-07-01
남수단,7,2016-07-01
남아프리카공화국,4,2016-07-01
네팔,6,2016-07-01
대만,1,2016-07-01
동티모르,6,2016-07-01
라오스,7,2016-07-01
레소토,5,2016-07-01
르완다,6,2016-07-01
마다가스카르,7,2016-07-01
마카오,2,2016-07-01
말라위,7,2016-07-01
말레이시아,2,2016-07-01
모리셔스,3,2016-07-01
모잠비크,7,2016-07-01
몰디브,6,2016-07-01
몽골,6,2016-07-01
미얀마,7,2016-07-01
바레인,4,2016-07-01
방글라데시,5,2016-07-01
베트남,5,2016-07-01
보츠와나,2,2016-07-01
부룬디,7,2016-07-01
부탄,6,2016-07-01
북한,7,2016-07-01
세이셸,6,2016-07-01
소말리아,7,2016-07-01
수단,7,2016-07-01
스리랑카,6,2016-07-01
스와질란드,6,2016-07-01
싱가포르,1,2016-07-01
아프가니스탄,7,2016-07-01
앙골라,6,2016-07-01
에리트리아,7,2016-07-01
에티오피아,7,2016-07-01
우간다,6,2016-07-01
이란,6,2016-07-01
인도,3,2016-07-01
인도네시아,3,2016-07-01
잠비아,6,2016-07-01
중국,2,2016-07-01
지부티,7,2016-07-01
짐바브웨,7,2016-07-01
캄보디아,6,2016-07-01
케냐,6,2016-07-01
탄자니아,6,2016-07-01
태국,3,2016-07-01
파키스탄,7,2016-07-01
파푸아뉴기니,6,2016-07-01
피지,6,2016-07-01
필리핀,3,2016-07-01
홍콩,1,2016-07-01
러시아,4,2016-02-05
레바논,7,2016-02-05
루마니아,3,2016-02-05
리비아,7,2016-02-05
마케도니아,5,2016-02-05
모로코,3,2016-02-05
몬테네그로,7,2016-02-05
몰도바,7,2016-02-05
벨라루스,7,2016-02-05
보스니아-헤르체코비나,7,2016-02-05
불가리아,4,2016-02-05
사우디아라비아,2,2016-02-05
세르비아,6,2016-02-05
시리아,7,2016-02-05
아랍에미리트 연합,2,2016-02-05
아르메니아,6,2016-02-05
아제르바이잔,5,2016-02-05
알바니아,6,2016-02-05
알제리,4,2016-02-05
예멘,7,2016-02-05
오만,3,2016-02-05
요르단,5,2016-02-05
우즈베키스탄,6,2016-02-05
우크라이나,7,2016-02-05
이라크,7,2016-02-05
이집트,6,2016-02-05
조지아,6,2016-02-05
카자흐스탄,6,2016-02-05
카타르,3,2016-02-05
코소보,7,2016-02-05
쿠웨이트,2,2016-02-05
크로아티아,5,2016-02-05
키르기즈공화국,7,2016-02-05
타지키스탄,7,2016-02-05
투르크메니스탄,6,2016-02-05
튀니지,4,2016-02-05
팔레스타인,7,2016-02-05
헝가리,4,2016-02-05
가이아나,6,2015-12-11
그레나다,5,2015-12-11
나우루,4,2015-12-11
도미니카 연방,6,2015-12-11
라트비아,4,2015-12-11
리투아니아,2,2015-12-11
리히텐슈타인,2,2015-12-11
마샬군도,5,2015-12-11
모나코,2,2015-12-11
미크로네시아,6,2015-12-11
바누아투,5,2015-12-11
바베이도스,3,2015-12-11
바티칸,2,2015-12-11
브루나이,3,2015-12-11
사모아,6,2015-12-11
산 마리노,2,2015-12-11
상투메프린시페,7,2015-12-11
세인트 루시아,5,2015-12-11
세인트 빈센트 그레나딘,5,2015-12-11
세인트 키츠 네비스,5,2015-12-11
솔로몬제도,6,2015-12-11
안도라,2,2015-12-11
코모로,7,2015-12-11
키리바시,6,2015-12-11
통가,6,2015-12-11
투발루,7,2015-12-11
팔라우,4,2015-12-11
허드섬,7,2015-12-11
가나,6,2015-11-06
가봉,5,2015-11-06
감비아,7,2015-11-06
과테말라,4,2015-11-06
기니,7,2015-11-06
기니비사우,7,2015-11-06
나이지리아,5,2015-11-06
니제르,7,2015-11-06
니카라과,7,2015-11-06
도미니카공화국,5,2015-11-06
라이베리아,7,2015-11-06
말리,7,2015-11-06
멕시코,3,2015-11-06
모리타니아,7,2015-11-06
바하마,3,2015-11-06
베네수엘라,7,2015-11-06
베넹,6,2015-11-06
볼리비아,5,2015-11-06
부르키나파소,7,2015-11-06
브라질,4,2015-11-06
세네갈,6,2015-11-06
수리남,6,2015-11-06
시에라리온,7,2015-11-06
아루바,4,2015-11-06
아르헨티나,7,2015-11-06
아이티,7,2015-11-06
앤티가 바부다,7,2015-11-06
에콰도르,6,2015-11-06
엘살바도르,5,2015-11-06
온두라스,6,2015-11-06
우루과이,3,2015-11-06
자메이카,7,2015-11-06
적도기니,7,2015-11-06
중앙아프리카공화국,7,2015-11-06
차드,7,2015-11-06
카메룬,6,2015-11-06
카보베르데,6,2015-11-06
코스타리카,3,2015-11-06
코트디부아르,6,2015-11-06
콜롬비아,4,2015-11-06
콩고,6,2015-11-06
콩고민주공화국,7,2015-11-06
쿠바,7,2015-11-06
퀴라소,5,2015-11-06
토고,7,2015-11-06
트리니다드토바고,2,2015-11-06
파나마,3,2015-11-06
파라과이,5,2015-11-06
페루,3,2015-11-06
나미비아,3,2015-07-03
남수단,7,2015-07-03
남아프리카공화국,4,2015-07-03
네팔,6,2015-07-03
대만,1,2015-07-03
동티모르,6,2015-07-03
라오스,7,2015-07-03
레소토,5,2015-07-03
르완다,6,2015-07-03
마다가스카르,7,2015-07-03
마카오,2,2015-07-03
말라위,7,2015-07-03
말레이시아,2,2015-07-03
모리셔스,3,2015-07-03
모잠비크,7,2015-07-03
몰디브,6,2015-07-03
몽골,6,2015-07-03
미얀마,7,2015-07-03
방글라데시,5,2015-07-03
베트남,5,2015-07-03
보츠와나,2,2015-07-03
부룬디,7,2015-07-03
부탄,6,2015-07-03
북한,7,2015-07-03
세이셸,7,2015-07-03
소말리아,7,2015-07-03
수단,7,2015-07-03
스리랑카,6,2015-07-03
스와질란드,6,2015-07-03
싱가포르,1,2015-07-03
아프가니스탄,7,2015-07-03
앙골라,5,2015-07-03
에리트리아,7,2015-07-03
에티오피아,7,2015-07-03
우간다,6,2015-07-03
인도,3,2015-07-03
인도네시아,3,2015-07-03
잠비아,5,2015-07-03
중국,2,2015-07-03
지부티,7,2015-07-03
짐바브웨,7,2015-07-03
캄보디아,6,2015-07-03
케냐,6,2015-07-03
탄자니아,6,2015-07-03
태국,3,2015-07-03
파키스탄,7,2015-07-03
파푸아뉴기니,5,2015-07-03
피지,6,2015-07-03
필리핀,3,2015-07-03
홍콩,1,2015-07-03
그루지아,6,2015-02-06
러시아,4,2015-02-06
레바논,7,2015-02-06
루마니아,3,2015-02-06
리비아,7,2015-02-06
마케도니아,5,2015-02-06
모로코,3,2015-02-06
몬테네그로,7,2015-02-06
몰도바,7,2015-02-06
바레인,4,2015-02-06
벨라루스,7,2015-02-06
보스니아-헤르체코비나,7,2015-02-06
불가리아,4,2015-02-06
사우디아라비아,2,2015-02-06
세르비아,6,2015-02-06
시리아,7,2015-02-06
아랍에미리트 연합,2,2015-02-06
아르메니아,6,2015-02-06
아제르바이잔,5,2015-02-06
알바니아,6,2015-02-06
알제리,3,2015-02-06
예멘,7,2015-02-06
오만,2,2015-02-06
요르단,5,2015-02-06
우즈베키스탄,6,2015-02-06
우크라이나,7,2015-02-06
이라크,7,2015-02-06
이란,7,2015-02-06
이집트,6,2015-02-06
카자흐스탄,5,2015-02-06
카타르,3,2015-02-06
코소보,7,2015-02-06
쿠웨이트,2,2015-02-06
크로아티아,5,2015-02-06
키르기즈스탄,7,2015-02-06
타지키스탄,7,2015-02-06
터키,4,2015-02-06
투르크메니스탄,6,2015-02-06
튀니지,4,2015-02-06
팔레스타인,7,2015-02-06
헝가리,4,2015-02-06
몰타,3,2014-12-08
슬로베니아,3,2014-12-08
포르투갈,3,2014-12-08
헝가리,3,2014-12-08
가나,5,2014-10-24
가봉,5,2014-10-24
감비아,7,2014-10-24
과테말라,4,2014-10-24
기니,7,2014-10-24
기니비사우,7,2014-10-24
나이지리아,5,2014-10-24
니제르,7,2014-10-24
니카라과,7,2014-10-24
도미니카공화국,5,2014-10-24
라이베리아,7,2014-10-24
말리,7,2014-10-24
멕시코,3,2014-10-24
모리타니아,7,2014-10-24
바하마,3,2014-10-24
베네수엘라,7,2014-10-24
베넹,7,2014-10-24
볼리비아,5,2014-10-24
부르키나파소,7,2014-10-24
브라질,3,2014-10-24
세네갈,6,2014-10-24
수리남,6,2014-10-24
시에라리온,7,2014-10-24
아루바,4,2014-10-24
아르헨티나,7,2014-10-24
아이티,7,2014-10-24
앤티가 바부다,7,2014-10-24
에콰도르,6,2014-10-24
엘살바도르,4,2014-10-24
온두라스,6,2014-10-24
우루과이,3,2014-10-24
자메이카,7,2014-10-24
적도기니,7,2014-10-24
중앙아프리카공화국,7,2014-10-24
차드,7,2014-10-24
카메룬,6,2014-10-24
카보베르데,6,2014-10-24
코스타리카,3,2014-10-24
코트디부아르,7,2014-10-24
콜롬비아,4,2014-10-24
콩고,6,2014-10-24
콩고민주공화국,7,2014-10-24
쿠바,7,2014-10-24
퀴라소,5,2014-10-24
토고,7,2014-10-24
트리니다드토바고,2,2014-10-24
파나마,3,2014-10-24
파라과이,5,2014-10-24
페루,3,2014-10-24
나미비아,3,2014-07-04
남수단,7,2014-07-04
남아프리카공화국,3,2014-07-04
네팔,6,2014-07-04
대만,1,2014-07-04
동티모르,6,2014-07-04
라오스,7,2014-07-04
레소토,5,2014-07-04
르완다,7,2014-07-04
마다가스카르,7,2014-07-04
마카오,2,2014-07-04
말라위,7,2014-07-04
말레이시아,2,2014-07-04
모리셔스,3,2014-07-04
모잠비크,6,2014-07-04
몰디브,7,2014-07-04
몽골,6,2014-07-04
미얀마,7,2014-07-04
방글라데시,6,2014-07-04
베트남,5,2014-07-04
보츠와나,2,2014-07-04
부룬디,7,2014-07-04
부탄,6,2014-07-04
북한,7,2014-07-04
브루나이,2,2014-07-04
세이셸,7,2014-07-04
소말리아,7,2014-07-04
수단,7,2014-07-04
스리랑카,6,2014-07-04
스와질란드,6,2014-07-04
싱가포르,1,2014-07-04
아프가니스탄,7,2014-07-04
앙골라,5,2014-07-04
에리트리아,7,2014-07-04
에티오피아,7,2014-07-04
우간다,6,2014-07-04
인도,3,2014-07-04
인도네시아,3,2014-07-04
잠비아,5,2014-07-04
중국,2,2014-07-04
지부티,7,2014-07-04
짐바브웨,7,2014-07-04
캄보디아,6,2014-07-04
케냐,6,2014-07-04
탄자니아,6,2014-07-04
태국,3,2014-07-04
파키스탄,7,2014-07-04
파푸아뉴기니,5,2014-07-04
피지,6,2014-07-04
필리핀,3,2014-07-04
홍콩,1,2014-07-04
네덜란드,1,2014-06-18
노르웨이,1,2014-06-18
뉴질랜드,1,2014-06-18
덴마크,1,2014-06-18
독일,1,2014-06-18
룩셈부르크,1,2014-06-18
미국,1,2014-06-18
벨기에,1,2014-06-18
스웨덴,1,2014-06-18
스위스,1,2014-06-18
스페인,1,2014-06-18
슬로바키아,1,2014-06-18
아이슬란드,1,2014-06-18
아일랜드,1,2014-06-18
에스토니아,1,2014-06-18
영국,1,2014-06-18
오스트리아,1,2014-06-18
이스라엘,1,2014-06-18
이탈리아,1,2014-06-18
일본,1,2014-06-18
체코,1,2014-06-18
캐나다,1,2014-06-18
폴란드,1,2014-06-18
프랑스,1,2014-06-18
핀란드,1,2014-06-18
호주,1,2014-06-18
대한민국,1,2014-06-16
그루지아,6,2014-02-07
라트비아,4,2014-02-07
러시아,3,2014-02-07
레바논,7,2014-02-07
루마니아,4,2014-02-07
리비아,7,2014-02-07
리투아니아,2,2014-02-07
마케도니아,5,2014-02-07
모로코,3,2014-02-07
몬테네그로,6,2014-02-07
몰도바,7,2014-02-07
바레인,4,2014-02-07
벨라루스,7,2014-02-07
보스니아-헤르체코비나,7,2014-02-07
불가리아,4,2014-02-07
사우디아라비아,2,2014-02-07
세르비아,6,2014-02-07
시리아,7,2014-02-07
아랍에미리트 연합,2,2014-02-07
아르메니아,6,2014-02-07
아제르바이잔,5,2014-02-07
알바니아,6,2014-02-07
알제리,3,2014-02-07
예멘,7,2014-02-07
오만,2,2014-02-07
요르단,5,2014-02-07
우즈베키스탄,6,2014-02-07
우크라이나,7,2014-02-07
이라크,7,2014-02-07
이란,7,2014-02-07
이집트,6,2014-02-07
카자흐스탄,5,2014-02-07
카타르,3,2014-02-07
코소보,7,2014-02-07
쿠웨이트,2,2014-02-07
크로아티아,5,2014-02-07
키르기즈스탄,7,2014-02-07
타지키스탄,7,2014-02-07
터키,4,2014-02-07
투르크메니스탄,6,2014-02-07
튀니지,4,2014-02-07
팔레스타인,7,2014-02-07
가나,5,2013-10-25
가봉,5,2013-10-25
감비아,7,2013-10-25
과테말라,5,2013-10-25
기니,7,2013-10-25
기니비사우,7,2013-10-25
나이지리아,5,2013-10-25
니제르,7,2013-10-25
니카라과,7,2013-10-25
도미니카공화국,5,2013-10-25
라이베리아,7,2013-10-25
말리,7,2013-10-25
멕시코,3,2013-10-25
모리타니아,7,2013-10-25
바하마,3,2013-10-25
베네수엘라,7,2013-10-25
베넹,6,2013-10-25
볼리비아,6,2013-10-25
부르키나파소,7,2013-10-25
브라질,3,2013-10-25
세네갈,6,2013-10-25
수리남,6,2013-10-25
시에라리온,7,2013-10-25
아루바,4,2013-10-25
아르헨티나,7,2013-10-25
아이티,7,2013-10-25
